model_name,score_transform,n_buckets,bucket_id,count,positive_count,positive_rate,mean_score,lift_vs_base_rate
logistic,raw,100,48,600,0,0.0,0.018284667384672958,0.0
logistic,raw,100,49,600,0,0.0,0.018962431834674297,0.0
logistic,raw,100,50,600,0,0.0,0.01963297179381575,0.0
logistic,raw,100,51,600,0,0.0,0.020343029602817028,0.0
logistic,raw,100,52,600,0,0.0,0.021077399487779747,0.0
logistic,raw,100,53,600,0,0.0,0.021862118478711726,0.0
logistic,raw,100,54,600,0,0.0,0.02268828249295649,0.0
logistic,raw,100,55,600,0,0.0,0.023609129597633505,0.0
logistic,raw,100,56,600,0,0.0,0.02453986229151917,0.0
logistic,raw,100,57,600,0,0.0,0.02548578592452788,0.0
logistic,raw,100,58,600,0,0.0,0.026490913719946413,0.0
logistic,raw,100,59,600,0,0.0,0.02749180962341113,0.0
logistic,raw,100,60,600,0,0.0,0.028577029530159195,0.0
logistic,raw,100,61,600,0,0.0,0.029743113705720862,0.0
logistic,raw,100,62,600,0,0.0,0.03096799203762713,0.0
logistic,raw,100,63,600,0,0.0,0.0322355469586668,0.0
logistic,raw,100,64,600,0,0.0,0.033530857742649,0.0
logistic,raw,100,65,600,0,0.0,0.034930144704867265,0.0
logistic,raw,100,66,600,0,0.0,0.03644588523161251,0.0
logistic,raw,100,67,600,1,0.0016666666666666668,0.03800166508976335,1.7241379310344829
logistic,raw,100,68,600,1,0.0016666666666666668,0.039525232680019486,1.7241379310344829
logistic,raw,100,69,600,0,0.0,0.04122496386815237,0.0
logistic,raw,100,70,600,0,0.0,0.04298863093786828,0.0
logistic,raw,100,71,600,1,0.0016666666666666668,0.04498910604812277,1.7241379310344829
logistic,raw,100,72,600,0,0.0,0.047009206141672914,0.0
logistic,raw,100,73,600,0,0.0,0.049170314290941,0.0
logistic,raw,100,74,600,1,0.0016666666666666668,0.05158080198046814,1.7241379310344829
logistic,raw,100,75,600,1,0.0016666666666666668,0.054108912334830825,1.7241379310344829
logistic,raw,100,76,600,0,0.0,0.05683937143573942,0.0
logistic,raw,100,77,600,1,0.0016666666666666668,0.059766020323210434,1.7241379310344829
logistic,raw,100,78,600,0,0.0,0.0629958879377286,0.0
logistic,raw,100,79,600,1,0.0016666666666666668,0.0664950618342167,1.7241379310344829
logistic,raw,100,80,600,1,0.0016666666666666668,0.07022194916919908,1.7241379310344829
logistic,raw,100,81,600,1,0.0016666666666666668,0.07431800889158936,1.7241379310344829
logistic,raw,100,82,600,0,0.0,0.07880356635973665,0.0
logistic,raw,100,83,600,1,0.0016666666666666668,0.08369786730008447,1.7241379310344829
logistic,raw,100,84,600,0,0.0,0.08912953123263073,0.0
logistic,raw,100,85,600,0,0.0,0.09512713171871097,0.0
logistic,raw,100,86,600,0,0.0,0.10216537228995769,0.0
