n_train,repeat,setup,auc,average_precision,brier_score
200,1,logistic,0.5303107093676168,0.011827276392046594,0.009454796575232058
200,1,catboost,0.51625107968374,0.009877296783373287,0.009545313714222074
200,1,hgb,0.5238029626795595,0.010249714206732981,0.0094599355380503
200,1,decision_tree,0.49442893456603215,0.009347308165485547,0.011438449828000088
200,1,figs,0.4984513125942798,0.009416668170393761,0.08387317471686828
200,1,greedy,0.4999965778645328,0.009439936040933803,0.019839999603200098
200,2,logistic,0.5206166142482038,0.010602464807446383,0.009834807052495417
200,2,catboost,0.5248585525909011,0.010590727290514822,0.00991578368391394
200,2,hgb,0.5181563815184729,0.011131412760062263,0.009826779711810786
200,2,decision_tree,0.5002835955630485,0.009805533861148786,0.011823199824400088
200,2,figs,0.500831825357895,0.009817734596230837,0.0844184729624351
200,2,greedy,0.4994971125190128,0.009791107871720117,0.020799999584000098
200,3,logistic,0.5470941060386121,0.011689195531139234,0.010185724778457627
200,3,catboost,0.5354457190567983,0.01119499105735484,0.010266997060201462
200,3,hgb,0.5286287818090063,0.011051636172709012,0.010225178547407864
200,3,decision_tree,0.4929396049691639,0.01003734408588942,0.012197599814800087
200,3,figs,0.5003374441809095,0.010167087867332234,0.08384544768743268
200,3,greedy,0.49612917636891607,0.010133575889220744,0.021679999566400102
200,4,logistic,0.5063019508361657,0.010548931041590015,0.009953879062390685
200,4,catboost,0.5349079807171008,0.010863114299854312,0.010044219522903122
200,4,hgb,0.5239944768229873,0.011311935033813753,0.009966851725386111
200,4,decision_tree,0.49057717069458057,0.009768991887727164,0.011953699818000086
200,4,figs,0.4973338746168442,0.009885629200268815,0.08391938643259429
200,4,greedy,0.4961883171382698,0.00989392835255446,0.021419999571600103
200,5,logistic,0.5474022108810035,0.011406218584797402,0.009771009221598228
200,5,catboost,0.5491612328722414,0.0111992206304236,0.009838793660948779
200,5,hgb,0.5414334384875836,0.011009773059090393,0.00977939626334335
200,5,decision_tree,0.5044447705041353,0.009833134731868714,0.011712799826800088
200,5,figs,0.5006296854981483,0.009753144713810726,0.0836975701971095
200,5,greedy,0.5014509909682525,0.009774984376394964,0.0209599995808001
200,6,logistic,0.5362485808243124,0.010247122204227412,0.009060752177206489
200,6,catboost,0.5330553432314242,0.010248385129592374,0.009151846557781583
200,6,hgb,0.5172731206211737,0.009424872136164816,0.00906400597115675
200,6,decision_tree,0.5096035866576386,0.009224137423842416,0.010961749841200087
200,6,figs,0.5022178318946879,0.009070849469046223,0.08352196567735068
200,6,greedy,0.5001949961155162,0.009023611911225315,0.0195199996096001
200,7,logistic,0.5323873282134196,0.012865584611432787,0.010419354728217279
200,7,catboost,0.5393725903239849,0.012200833627144664,0.010516233841420685
200,7,hgb,0.511110044462409,0.010822796796464517,0.010486097105222306
200,7,decision_tree,0.49612664013432006,0.010326159180830729,0.012435949812000087
200,7,figs,0.5059231391082644,0.010615951417004048,0.0839009017463039
200,7,greedy,0.4993711522915241,0.010388539453180337,0.021059999578800098
200,8,logistic,0.5266436904559187,0.01180724669686969,0.010638652286975185
200,8,catboost,0.5265150931137265,0.011580299496822833,0.010736117086538743
200,8,hgb,0.5087325323371112,0.011012515530903155,0.010685241918333104
200,8,decision_tree,0.499116454791315,0.010601752428592301,0.01258709980880009
200,8,figs,0.5027469884600064,0.010698261701225583,0.0840949909523531
200,8,greedy,0.4998885337424693,0.010617702448210921,0.0218999995620001
200,9,logistic,0.555760167688315,0.011246411779531642,0.00977268914549086
200,9,catboost,0.5629596126643114,0.01208309391178661,0.009855037606499088
200,9,hgb,0.5560831907294502,0.0111343845770393,0.009775631236799781
200,9,decision_tree,0.4880883542873916,0.009563564731837053,0.011798449820400087
200,9,figs,0.5067090629051396,0.009980652090179069,0.08371605488339988
200,9,greedy,0.5029119144077276,0.009826560671261428,0.020079999598400098
200,10,logistic,0.5309553506920097,0.011136583208675777,0.010387082165725255
200,10,catboost,0.5310865104623905,0.01186955780597738,0.010426590473598627
200,10,hgb,0.516304855253503,0.010440547420821674,0.010374985580227399
200,10,decision_tree,0.496060977191594,0.010245760023620269,0.01230044981280009
200,10,figs,0.5004364420666237,0.01032944126742068,0.08371605488339988
200,10,greedy,0.5018813535531648,0.010370578960529606,0.021779999564400094
200,11,logistic,0.5253527468425421,0.010534845617757083,0.009785679399974921
200,11,catboost,0.5260285281309358,0.010615407878349588,0.009857358391300792
200,11,hgb,0.5233955316155121,0.010295253748504478,0.009775251219155024
200,11,decision_tree,0.4862099767546996,0.009547239445589356,0.011761549819200086
