encoder,n_features_out,fit_time_seconds,val_transform_time_seconds,test_transform_time_seconds
onehot,105,0.019454962999930103,0.39266326599999957,0.2924134759999788
ordinal,4,0.008765075000042089,0.015367781000009018,0.01684628500004237
frequency,4,0.008185097000023234,0.005883564999976443,0.005836992000013197
target,4,0.009281448000024284,0.014420577999999296,0.01431856700003209
hashing,66,0.007952248000037798,0.0831017459998975,0.10978480700009641
native,4,,,
