depth,l2_leaf_reg,auc_eval,average_precision_eval,brier_score_eval,logloss_eval,auc_test,average_precision_test,brier_score_test,logloss_test,auc_gap,average_precision_gap,brier_score_gap,logloss_gap
2,1,0.4919899244332494,0.010034712773239963,0.007587941968415132,0.04785430368231099,0.5424866334186997,0.012581805219450331,0.010808048022138325,0.06356137185133402,-0.050496708985450334,-0.002547092446210368,0.003220106053723193,0.01570706816902303
2,3,0.4888664987405541,0.008773314208345892,0.007626171616384839,0.04771224330141698,0.5530507256144134,0.0126567639160792,0.010808607151279194,0.0627357405283856,-0.06418422687385927,-0.0038834497077333083,0.0031824355348943545,0.015023497226968614
2,10,0.48510495382031915,0.007969824894090457,0.007573175151164322,0.047015621896689425,0.560522157823007,0.012727014099143435,0.01078305063034965,0.06156373680582952,-0.07541720400268781,-0.004757189205052978,0.0032098754791853278,0.014548114909140097
2,30,0.5049874055415617,0.012917391010720963,0.007487934798910048,0.04527649919517016,0.5684541193032904,0.013176521499484624,0.010749773928622867,0.060683074212871904,-0.06346671376172863,-0.00025913048876366127,0.0032618391297128185,0.015406575017701742
2,100,0.4669353484466835,0.007848022009616247,0.0075229545977307044,0.046081826116709385,0.545703786074793,0.012153993234990317,0.010742654134620494,0.060774901804078914,-0.07876843762810948,-0.0043059712253740706,0.00321969953688979,0.01469307568736953
3,1,0.40940386230058773,0.007619107225591271,0.0076130914647390925,0.051749452054434056,0.5512685147743781,0.012566521187730774,0.01081037533524524,0.06653361418507737,-0.14186465247379038,-0.004947413962139503,0.0031972838705061476,0.014784162130643319
3,3,0.4675062972292191,0.008239911387088007,0.007538901155480792,0.04801757666466712,0.5710862500187207,0.013190049784949358,0.010752024295175402,0.06257048747502808,-0.1035799527895016,-0.004950138397861351,0.00321312313969461,0.014552910810360961
3,10,0.4331150293870697,0.00705486740693854,0.0075503488844229786,0.04754602420408557,0.5641333812583307,0.01280369592767357,0.01074421554053896,0.061248505371189844,-0.13101835187126099,-0.00574882852073503,0.003193866656115982,0.013702481167104277
3,30,0.48466834592779173,0.008375444887652878,0.007508324973833649,0.0459392735957186,0.5606185694388283,0.01250224067225733,0.010748673108671093,0.060889609153191235,-0.07595022351103653,-0.004126795784604452,0.003240348134837444,0.014950335557472633
3,100,0.44900083963056253,0.007415558794544072,0.0074981513492932755,0.04595673309591859,0.542012063620434,0.012544320036036801,0.010722410115321193,0.06059450038481383,-0.09301122398987144,-0.005128761241492729,0.003224258766027918,0.014637767288895237
4,1,0.4551805205709488,0.008942576266379102,0.007532364534882232,0.052300123901651466,0.556753680490033,0.013278746401939425,0.010759115915154376,0.0692551122804841,-0.10157315991908422,-0.004336170135560324,0.0032267513802721436,0.016954988378832636
4,3,0.5079429051217464,0.008829710706125019,0.007496882294782967,0.04764278579284605,0.5409374953198245,0.012286167423608867,0.010766524967768847,0.06486807677196389,-0.032994590198078044,-0.0034564567174838485,0.0032696426729858803,0.01722529097911784
4,10,0.441007556675063,0.0077561714766633,0.0075100995344287045,0.047083790821889765,0.561975820341166,0.01265341158182086,0.010730316994825628,0.06137463712138506,-0.12096826366610303,-0.00489724010515756,0.0032202174603969238,0.014290846299495293
4,30,0.47533165407220823,0.007316274828063365,0.0075090466102014,0.04626403602693895,0.54388132572524,0.01192758083294878,0.010743531175172072,0.06125617620960528,-0.06854967165303172,-0.004611306004885415,0.003234484564970672,0.014992140182666328
4,100,0.47751469353484466,0.008403104661383241,0.007485708754736278,0.045537673739586976,0.536556851028141,0.013166359481329309,0.010720363472854344,0.06038939673517702,-0.05904215749329633,-0.004763254819946067,0.0032346547181180667,0.014851722995590046
5,1,0.47425692695214106,0.009237548349479093,0.007493807435652711,0.054468973176208864,0.5691392970001946,0.014016879970348929,0.010768350430823602,0.07409833567595274,-0.09488237004805355,-0.004779331620869836,0.003274542995170891,0.019629362499743876
5,3,0.4773131821998321,0.007642861921799988,0.007489034448447453,0.048800846034659624,0.5554628880801546,0.013276582832720596,0.010747936719504355,0.0658219499170762,-0.07814970588032255,-0.005633720910920608,0.003258902271056902,0.017021103882416573
5,10,0.4217632241813602,0.006959831144782913,0.007501624854684703,0.04749270534511326,0.5327434440101242,0.012739424859942837,0.010723501491067048,0.06229994567959639,-0.11098021982876399,-0.005779593715159924,0.0032218766363823446,0.014807240334483128
5,30,0.42854743912678417,0.006736622320409935,0.007511413639130749,0.04675819149855441,0.5500207799793324,0.012552681894699175,0.010736974838368045,0.061080210667610914,-0.12147334085254824,-0.0058160595742892405,0.003225561199237296,0.014322019169056503
5,100,0.4182031905961377,0.0065405960278601995,0.007497261819480283,0.046279361167697146,0.5279153749382217,0.013033799387304104,0.010713492091025258,0.060384072868801854,-0.10971218434208402,-0.006493203359443905,0.0032162302715449754,0.014104711701104708
6,1,0.46381192275398825,0.008471559031004109,0.007490793138683987,0.05724586044729058,0.5551390199338035,0.013444753608144991,0.01077664525093103,0.0783926588845986,-0.0913270971798153,-0.004973194577140882,0.003285852112247044,0.021146798437308024
6,3,0.4346599496221663,0.007364018111027934,0.0074889940185662906,0.050278971245474306,0.5535674169924069,0.01235829708056093,0.010751591338307142,0.06712605728278752,-0.11890746737024055,-0.004994278969532996,0.0032625973197408517,0.016847086037313212
6,10,0.450512174643157,0.006813171168447934,0.007497260026852178,0.047314783588053355,0.5491792844198828,0.012044509417585435,0.01073299214955905,0.06287539492545809,-0.09866710977672583,-0.005231338249137501,0.0032357321227068714,0.015560611337404731
6,30,0.4224349286314022,0.006601016472295383,0.007512166037866774,0.04707506168340758,0.5583636608707373,0.012608633626352192,0.010717562943908587,0.060952410000211045,-0.1359287322393351,-0.006007617154056809,0.003205396906041813,0.013877348316803463
6,100,0.43952980688497056,0.0071230683622383086,0.007487542268789217,0.045953359079514415,0.550725614413443,0.013387494916697749,0.010701325151761292,0.06011613743341995,-0.11119580752847247,-0.00626442655445944,0.003213782882972075,0.014162778353905538
8,1,0.48544080604534,0.010102032578758309,0.007491658727131413,0.06081671769833791,0.5639864237468362,0.013113483895766657,0.010786285251558147,0.08457225182185864,-0.07854561770149615,-0.0030114513170083484,0.003294626524426734,0.02375553412352073
8,3,0.48013434089000834,0.0075731024905274875,0.007483630141946781,0.05192538164399009,0.5717957646283566,0.013832905077986828,0.01075481444933652,0.07012393085973505,-0.09166142373834824,-0.006259802587459341,0.0032711843073897394,0.018198549215744958
8,10,0.5110999160369438,0.008477297054529357,0.007470809788601823,0.046652193778289955,0.5622510146620538,0.012694372682607199,0.010728765559279346,0.06380325982906163,-0.051151098625110025,-0.004217075628077842,0.0032579557706775234,0.01715106605077167
8,30,0.4704617968094038,0.007249947807536019,0.007488677840774477,0.04629336101644617,0.5478866199397943,0.012363871985731481,0.010713350844706853,0.06146498406364918,-0.07742482313039045,-0.0051139241781954625,0.003224673003932376,0.015171623047203014
8,100,0.4856087321578505,0.007632958197238225,0.0075097165386009725,0.04627961652576926,0.5418304728100523,0.01308901546640294,0.010708641355651525,0.06040357482999316,-0.05622174065220176,-0.005456057269164714,0.0031989248170505528,0.014123958304223902
