depth,l2_leaf_reg,feature,importance
2,1,x00,2.3094269869452764
2,1,x01,3.0528706121999902
2,1,x02,0.5632852543565219
2,1,x03,3.3029516437446684
2,1,x04,1.4440561831553334
2,1,x05,6.062965891603848
2,1,x06,7.018821660265705
2,1,x07,0.6646723338061462
2,1,x08,0.365957017992537
2,1,x09,1.603137694838918
2,1,x10,2.154030668799005
2,1,x11,1.8057957995727718
2,1,x12,1.2460437734623757
2,1,x13,1.40528301606487
2,1,x14,1.491660445630981
2,1,x15,1.8752134950535524
2,1,x16,0.1696988938039597
2,1,x17,6.925023415416334
2,1,x18,5.519263077550544
2,1,x19,5.522815450184074
2,1,x20,0.26749337079061336
2,1,x21,3.6989475567136325
2,1,x22,0.3255426073886408
2,1,x23,0.5603354853868607
2,1,x24,6.184281118835616
2,1,x25,3.414965095712088
2,1,x26,1.898417186085173
2,1,x27,1.6795547987417816
2,1,x28,1.2032546254400265
2,1,x29,0.9455252799459692
2,1,x30,0.7425271624391003
2,1,x31,3.5917055514015757
2,1,x32,4.617487847120474
2,1,x33,2.580528620526577
2,1,x34,3.8410663291498754
2,1,x35,2.3088975043870237
2,1,x36,2.5446743794935953
2,1,x37,0.752791338215924
2,1,x38,1.6988073164016888
2,1,x39,2.640223511376332
2,3,x00,2.1722931150992566
2,3,x01,2.6913660934125403
2,3,x02,0.32307882570017554
2,3,x03,3.5807863298113767
2,3,x04,0.2140185006759325
2,3,x05,9.001609615540602
2,3,x06,6.2651202646416
2,3,x07,0.5032256412323348
2,3,x08,0.6177130059751773
2,3,x09,1.5290430111526152
2,3,x10,2.0512311831520784
2,3,x11,1.5123582466668797
2,3,x12,1.0185640432097758
2,3,x13,2.081178792646149
2,3,x14,1.7617153039170035
2,3,x15,0.6010791408819568
2,3,x16,0.2079275418451965
2,3,x17,9.912903736595121
2,3,x18,5.859670858369798
2,3,x19,7.464407811204676
2,3,x20,0.5937631068764808
2,3,x21,4.614352221772663
2,3,x22,0.6250410179527791
2,3,x23,0.32602364733027867
2,3,x24,2.6252193969232147
2,3,x25,3.8048020136437937
2,3,x26,1.8986144123696198
2,3,x27,1.4832953429669753
2,3,x28,0.9103062921433237
2,3,x29,1.1637289189088433
2,3,x30,1.4242033736656425
2,3,x31,3.917607703955709
2,3,x32,3.0720058342362697
2,3,x33,2.700086102101659
