sweep,depth,iterations,auc,ap
depth,2,300,0.643853678326722,0.410926045336708
depth,4,300,0.6263598389229476,0.3942550819684853
depth,6,300,0.618411167207597,0.39527627924032777
depth,10,300,0.6021344212044717,0.3755889767742591
iterations,6,10,0.6428807548984253,0.4081465315487262
iterations,6,50,0.6403301178026205,0.4082309079489902
iterations,6,200,0.6236626998437312,0.3871466692125074
iterations,6,800,0.5993922045918981,0.3676630080535269
