model,repeat,p_pos,roc_auc,average_precision,study
ap_model,6,0.05,0.7011087005929875,0.12037920827753786,imbalance
auc_model,7,0.05,0.7297233440884826,0.1492717677165603,imbalance
ap_model,7,0.05,0.7285063140355929,0.1489167484938665,imbalance
auc_model,8,0.05,0.7122900839664134,0.11657940841260075,imbalance
ap_model,8,0.05,0.7113296922610266,0.11659465803788899,imbalance
auc_model,9,0.05,0.7130376647154851,0.13647186301257258,imbalance
ap_model,9,0.05,0.7124220955507654,0.13562457716142506,imbalance
auc_model,10,0.05,0.7293079138417231,0.13168477239724427,imbalance
ap_model,10,0.05,0.7300967215949798,0.13171621650898688,imbalance
auc_model,11,0.05,0.7055237416109418,0.1251909604092478,imbalance
ap_model,11,0.05,0.7031136432908961,0.12556782830115953,imbalance
auc_model,12,0.05,0.7266956827384858,0.12232780272014235,imbalance
ap_model,12,0.05,0.7262590069975717,0.1218881743697144,imbalance
auc_model,13,0.05,0.7044859207304909,0.1309751638522888,imbalance
ap_model,13,0.05,0.7022447948475506,0.129660003159889,imbalance
auc_model,14,0.05,0.7393328063141018,0.1432394336462345,imbalance
ap_model,14,0.05,0.7391179628886668,0.14291171976275335,imbalance
auc_model,15,0.05,0.7256309498923253,0.15603164622430518,imbalance
ap_model,15,0.05,0.7266085655222301,0.15554554546248037,imbalance
auc_model,16,0.05,0.7128381429797227,0.1263778226556417,imbalance
ap_model,16,0.05,0.7128572495562063,0.12646535601333875,imbalance
auc_model,17,0.05,0.6700803735614371,0.10798469804982175,imbalance
ap_model,17,0.05,0.6736552408107606,0.1083881399905858,imbalance
auc_model,18,0.05,0.7260102343110155,0.14716883121377475,imbalance
ap_model,18,0.05,0.7277426129965192,0.14785979703980381,imbalance
auc_model,19,0.05,0.7251506177420121,0.1442443084656111,imbalance
ap_model,19,0.05,0.7260152227800236,0.1441179468004169,imbalance
auc_model,20,0.05,0.6716644782913166,0.10542042408977645,imbalance
ap_model,20,0.05,0.6695982142857144,0.10504046026572458,imbalance
auc_model,21,0.05,0.7060436329304406,0.11620588009120209,imbalance
ap_model,21,0.05,0.7058833243646463,0.11639617180710196,imbalance
auc_model,22,0.05,0.6871925056820338,0.12554959720479963,imbalance
ap_model,22,0.05,0.6865574662274472,0.12441140860805351,imbalance
auc_model,23,0.05,0.7337743776258857,0.14801040653820252,imbalance
ap_model,23,0.05,0.7334123830643553,0.14816419417250815,imbalance
auc_model,24,0.05,0.7393362265752056,0.14442611510895695,imbalance
ap_model,24,0.05,0.7398545832420541,0.14396098306324304,imbalance
auc_model,25,0.05,0.7294952303751057,0.12649073440972436,imbalance
ap_model,25,0.05,0.731640620991822,0.12741761050587946,imbalance
auc_model,26,0.05,0.7007076323580977,0.11896864746210747,imbalance
ap_model,26,0.05,0.7021388038622735,0.11944763838497531,imbalance
auc_model,27,0.05,0.7054266759151725,0.10944560099981622,imbalance
ap_model,27,0.05,0.7069326586530668,0.11040146445511465,imbalance
auc_model,28,0.05,0.7045312291574746,0.1265472188598004,imbalance
ap_model,28,0.05,0.7057009758149748,0.12670125566190027,imbalance
auc_model,29,0.05,0.7237103318097663,0.14505498358627578,imbalance
ap_model,29,0.05,0.7240981543624161,0.1453325492573052,imbalance
auc_model,30,0.05,0.7234636532757043,0.12030484784786494,imbalance
ap_model,30,0.05,0.7241124637090612,0.12065126071038063,imbalance
auc_model,31,0.05,0.7081690197987667,0.128158287552665,imbalance
ap_model,31,0.05,0.708357676079195,0.12870135298827318,imbalance
auc_model,32,0.05,0.7056496711370143,0.1347451588647519,imbalance
ap_model,32,0.05,0.7064521618081135,0.13425146832058052,imbalance
auc_model,33,0.05,0.7056908121538024,0.11057724929126247,imbalance
ap_model,33,0.05,0.70396452790819,0.10939230572390271,imbalance
auc_model,34,0.05,0.7179213302844305,0.12149742240629696,imbalance
ap_model,34,0.05,0.7171377923536727,0.12168963033483882,imbalance
auc_model,35,0.05,0.711239492707424,0.14186832147103548,imbalance
ap_model,35,0.05,0.7098393377340539,0.14127120507227284,imbalance
auc_model,36,0.05,0.7125415584795244,0.1367701067333238,imbalance
ap_model,36,0.05,0.7115223625148493,0.13665388051757427,imbalance
auc_model,37,0.05,0.7018380124894603,0.1399050884457783,imbalance
ap_model,37,0.05,0.7019508194561552,0.13979332320551138,imbalance
auc_model,38,0.05,0.7221656874572925,0.12639888374706437,imbalance
ap_model,38,0.05,0.7227574634063408,0.1263723960530055,imbalance
auc_model,39,0.05,0.7133845413165266,0.11418945531722484,imbalance
ap_model,39,0.05,0.7154652485994398,0.11468762861316562,imbalance
auc_model,0,0.1,0.6943066626307469,0.20521412368633601,imbalance
ap_model,0,0.1,0.6983667978340564,0.21503295271417489,imbalance
auc_model,1,0.1,0.719454842032967,0.22282278916133955,imbalance
ap_model,1,0.1,0.7220606541895603,0.2289709619253895,imbalance
auc_model,2,0.1,0.7251933171787452,0.21610836232456687,imbalance
ap_model,2,0.1,0.7302553008381788,0.22055075989522854,imbalance
auc_model,3,0.1,0.7303424665823012,0.2576808939660652,imbalance
ap_model,3,0.1,0.7344922342316176,0.2554400983341862,imbalance
auc_model,4,0.1,0.7048336859211326,0.2152041834738319,imbalance
ap_model,4,0.1,0.7080506683307835,0.21984698046508827,imbalance
