model,repeat,info_scale,roc_auc,average_precision,study
ap_model,21,0.1,0.5109075404280915,0.09999185765087276,feature_info
auc_model,22,0.1,0.5110332788075702,0.10026693495238982,feature_info
ap_model,22,0.1,0.5110332788075702,0.10026693495238982,feature_info
auc_model,23,0.1,0.49304807447788285,0.09741809757003395,feature_info
ap_model,23,0.1,0.49304807447788285,0.09741809757003395,feature_info
auc_model,24,0.1,0.4789220478789354,0.09306857198416577,feature_info
ap_model,24,0.1,0.4789220478789354,0.09306857198416577,feature_info
auc_model,25,0.1,0.5071673875761536,0.10275550526841307,feature_info
ap_model,25,0.1,0.5071673875761536,0.10275550526841307,feature_info
auc_model,26,0.1,0.49320931901603554,0.10296449285014406,feature_info
ap_model,26,0.1,0.49320931901603554,0.10296449285014406,feature_info
auc_model,27,0.1,0.48426290680268835,0.1008106718481423,feature_info
ap_model,27,0.1,0.48426290680268835,0.1008106718481423,feature_info
auc_model,28,0.1,0.49640804114134934,0.10606950964222575,feature_info
ap_model,28,0.1,0.49640804114134934,0.10606950964222575,feature_info
auc_model,29,0.1,0.5003974901076029,0.10520936865156975,feature_info
ap_model,29,0.1,0.5003974901076029,0.10520936865156975,feature_info
auc_model,30,0.1,0.49235279099752444,0.0944343814008139,feature_info
ap_model,30,0.1,0.49235279099752444,0.0944343814008139,feature_info
auc_model,31,0.1,0.4765696435535242,0.09370969376459218,feature_info
ap_model,31,0.1,0.4765696435535242,0.09370969376459218,feature_info
auc_model,32,0.1,0.521658132149951,0.10711156095397797,feature_info
ap_model,32,0.1,0.521658132149951,0.10711156095397797,feature_info
auc_model,33,0.1,0.5308650052339158,0.10809712927958391,feature_info
ap_model,33,0.1,0.5308650052339158,0.10809712927958391,feature_info
auc_model,34,0.1,0.5116762179867206,0.1016670159597046,feature_info
ap_model,34,0.1,0.5116762179867206,0.1016670159597046,feature_info
auc_model,35,0.1,0.4964455207183715,0.10178112376884581,feature_info
ap_model,35,0.1,0.4964455207183715,0.10178112376884581,feature_info
auc_model,36,0.1,0.4775229866298798,0.08057597027401973,feature_info
ap_model,36,0.1,0.4775229866298798,0.08057597027401973,feature_info
auc_model,37,0.1,0.4859532266189243,0.09415879481560281,feature_info
ap_model,37,0.1,0.4859532266189243,0.09415879481560281,feature_info
auc_model,38,0.1,0.5132546686311452,0.10764525944375286,feature_info
ap_model,38,0.1,0.5132546686311452,0.10764525944375286,feature_info
auc_model,39,0.1,0.4837546567948097,0.10045858680402722,feature_info
ap_model,39,0.1,0.4837546567948097,0.10045858680402722,feature_info
auc_model,0,0.3,0.5533907108063153,0.1263535084364697,feature_info
ap_model,0,0.3,0.5552062569305101,0.12542545665702176,feature_info
auc_model,1,0.3,0.5457275570518413,0.11665014558710475,feature_info
ap_model,1,0.3,0.5505139170631883,0.11912552647187812,feature_info
auc_model,2,0.3,0.5507726609869302,0.11802477740680357,feature_info
ap_model,2,0.3,0.5552567987353223,0.11994012643668993,feature_info
auc_model,3,0.3,0.5586500849649858,0.12311232010586023,feature_info
ap_model,3,0.3,0.5675871026398676,0.12727082477053592,feature_info
auc_model,4,0.3,0.562981985932654,0.11232471390415577,feature_info
ap_model,4,0.3,0.5655335079025494,0.11354841493978693,feature_info
auc_model,5,0.3,0.5674706092219927,0.12773079114891686,feature_info
ap_model,5,0.3,0.5727208972024304,0.13177592136089106,feature_info
auc_model,6,0.3,0.5463893092971894,0.1135213029550428,feature_info
ap_model,6,0.3,0.5489974102848686,0.11240023667350216,feature_info
auc_model,7,0.3,0.547632452365773,0.1165698528741863,feature_info
ap_model,7,0.3,0.5506996675686191,0.11766905153756047,feature_info
auc_model,8,0.3,0.5524679476201894,0.11288628743420129,feature_info
ap_model,8,0.3,0.5544434930529393,0.11465715778471224,feature_info
auc_model,9,0.3,0.5254134969264315,0.11625600932836672,feature_info
ap_model,9,0.3,0.5364229339408988,0.12017507527102438,feature_info
auc_model,10,0.3,0.5467288250289194,0.11154681450189169,feature_info
ap_model,10,0.3,0.5574274710849798,0.11260796950795338,feature_info
auc_model,11,0.3,0.541578555679494,0.11856873434261928,feature_info
ap_model,11,0.3,0.545811569413532,0.12014115915937248,feature_info
auc_model,12,0.3,0.5378380977746212,0.11364263475657077,feature_info
ap_model,12,0.3,0.5425927473262032,0.1144372324609188,feature_info
auc_model,13,0.3,0.5456493890421757,0.12165449625179899,feature_info
ap_model,13,0.3,0.5536496258877387,0.1233138944711494,feature_info
auc_model,14,0.3,0.5535542858316264,0.12146580238710297,feature_info
ap_model,14,0.3,0.5564888111995812,0.12119169379977171,feature_info
auc_model,15,0.3,0.5230693656160734,0.10660028852380006,feature_info
ap_model,15,0.3,0.5270197227571625,0.10940742171742741,feature_info
auc_model,16,0.3,0.523896340339233,0.09935940804642168,feature_info
ap_model,16,0.3,0.5238119929941003,0.09854812359625584,feature_info
auc_model,17,0.3,0.5269335555555555,0.10535364312840964,feature_info
ap_model,17,0.3,0.530602,0.10604812730954254,feature_info
auc_model,18,0.3,0.5277672954279584,0.10818550737869309,feature_info
ap_model,18,0.3,0.54060959656131,0.11095119261686605,feature_info
auc_model,19,0.3,0.5408470532184918,0.12018730692205848,feature_info
ap_model,19,0.3,0.5486560897886559,0.1203838351214912,feature_info
auc_model,20,0.3,0.5199228970892021,0.09802744819845391,feature_info
ap_model,20,0.3,0.529208833059113,0.1000072359454504,feature_info
auc_model,21,0.3,0.5345869447901409,0.11428215738073164,feature_info
ap_model,21,0.3,0.5403367878500864,0.11423683230184403,feature_info
auc_model,22,0.3,0.5335645510513246,0.11701510502928097,feature_info
ap_model,22,0.3,0.5365647721781073,0.11758370644069538,feature_info
auc_model,23,0.3,0.5626212654532967,0.11944767943056968,feature_info
ap_model,23,0.3,0.5623529790521978,0.11901953487408398,feature_info
auc_model,24,0.3,0.5378803642448202,0.11226612648780691,feature_info
ap_model,24,0.3,0.5408365554048975,0.11167329533342865,feature_info
auc_model,25,0.3,0.545592,0.1087167700465303,feature_info
ap_model,25,0.3,0.5534191111111111,0.11070026559727389,feature_info
auc_model,26,0.3,0.5362185612677102,0.1079532497510121,feature_info
ap_model,26,0.3,0.5438417188980603,0.10956581683615338,feature_info
auc_model,27,0.3,0.541976687104754,0.11117414061191414,feature_info
ap_model,27,0.3,0.5478232451502513,0.11421244743978379,feature_info
auc_model,28,0.3,0.5301078913178557,0.10732824416530598,feature_info
ap_model,28,0.3,0.5359892214596396,0.10825542862279361,feature_info
auc_model,29,0.3,0.5397395809765148,0.1114405988811936,feature_info
ap_model,29,0.3,0.5476035114711073,0.11359847946728499,feature_info
auc_model,30,0.3,0.5326673087050303,0.10564258582131224,feature_info
ap_model,30,0.3,0.5392964449830834,0.10872811657303892,feature_info
auc_model,31,0.3,0.5510558603463392,0.12164856500673597,feature_info
ap_model,31,0.3,0.5552815806752467,0.12183912650001906,feature_info
auc_model,32,0.3,0.5550011335408755,0.1174129189167715,feature_info
ap_model,32,0.3,0.5652637822820684,0.11987863389139615,feature_info
auc_model,33,0.3,0.5617449629074549,0.11546991058908657,feature_info
ap_model,33,0.3,0.5636117721584002,0.11696777210218035,feature_info
auc_model,34,0.3,0.5379082222222222,0.11327207273635184,feature_info
ap_model,34,0.3,0.5464115555555555,0.11594953443371904,feature_info
auc_model,35,0.3,0.5437245197946035,0.11012018938734008,feature_info
ap_model,35,0.3,0.5481195931417816,0.11137508342655775,feature_info
auc_model,36,0.3,0.536852793121716,0.117038512906948,feature_info
ap_model,36,0.3,0.5430629869212339,0.11643958769261992,feature_info
auc_model,37,0.3,0.5380518997903535,0.10910712673122736,feature_info
ap_model,37,0.3,0.539300839287342,0.10902295866376371,feature_info
auc_model,38,0.3,0.5441215555555555,0.10984395603810011,feature_info
ap_model,38,0.3,0.555182,0.1139819945415482,feature_info
auc_model,39,0.3,0.5576331847171143,0.11298655660959801,feature_info
ap_model,39,0.3,0.558465823805379,0.11394285960726433,feature_info
auc_model,0,0.5,0.575258467023173,0.12360406917371293,feature_info
ap_model,0,0.5,0.575258467023173,0.12360406917371293,feature_info
auc_model,1,0.5,0.6086527730082417,0.1467486046100267,feature_info
ap_model,1,0.5,0.6086527730082417,0.1467486046100267,feature_info
auc_model,2,0.5,0.6188905207575517,0.13143321281024195,feature_info
ap_model,2,0.5,0.6188905207575517,0.13143321281024195,feature_info
auc_model,3,0.5,0.6046595906893761,0.13680960548231358,feature_info
ap_model,3,0.5,0.6046595906893761,0.13680960548231358,feature_info
auc_model,4,0.5,0.580836090594324,0.12688060301965423,feature_info
ap_model,4,0.5,0.580836090594324,0.12688060301965423,feature_info
auc_model,5,0.5,0.5835702032817683,0.12919731947410282,feature_info
ap_model,5,0.5,0.5835702032817683,0.12919731947410282,feature_info
