model,repeat,p_pos,roc_auc,average_precision,n_iter,study,info_scale
penalized_model,26,0.02,0.6817150639622549,0.05283077763865917,24.0,imbalance,
auc_model,27,0.02,0.6951009201250793,0.05802971689256581,23.0,imbalance,
ap_model,27,0.02,0.6971388251587046,0.057842961099064796,21.0,imbalance,
penalized_model,27,0.02,0.6997387975483782,0.06545341939413529,24.0,imbalance,
auc_model,28,0.02,0.6795790433280375,0.05408872799789114,23.0,imbalance,
ap_model,28,0.02,0.6774678824052417,0.05749377184317066,21.0,imbalance,
penalized_model,28,0.02,0.6793717725310858,0.052427480456719106,24.0,imbalance,
auc_model,29,0.02,0.6800724489795918,0.037183752486592815,23.0,imbalance,
ap_model,29,0.02,0.6802224489795917,0.03723224054709476,21.0,imbalance,
penalized_model,29,0.02,0.7000765306122448,0.05381046729066528,24.0,imbalance,
auc_model,30,0.02,0.64232885142138,0.054736832091585544,23.0,imbalance,
ap_model,30,0.02,0.6434531851495411,0.05463365122781756,21.0,imbalance,
penalized_model,30,0.02,0.6581666882588096,0.06346168006133139,24.0,imbalance,
auc_model,31,0.02,0.6534576053313801,0.05156785745290374,23.0,imbalance,
ap_model,31,0.02,0.6549899103058505,0.050735432164267444,21.0,imbalance,
penalized_model,31,0.02,0.6577430323660154,0.049409000570021684,24.0,imbalance,
auc_model,32,0.02,0.6437049828406931,0.04794949954861271,23.0,imbalance,
ap_model,32,0.02,0.6429377209347511,0.04790111852822659,21.0,imbalance,
penalized_model,32,0.02,0.6463804865669689,0.04719836731018671,24.0,imbalance,
auc_model,33,0.02,0.6964190252460226,0.041661737734248284,23.0,imbalance,
ap_model,33,0.02,0.696047575664029,0.04138127638584198,21.0,imbalance,
penalized_model,33,0.02,0.7254473081199381,0.051352578994970643,24.0,imbalance,
auc_model,34,0.02,0.6507101691764268,0.04315640210826183,23.0,imbalance,
ap_model,34,0.02,0.6560708310094814,0.04379394281381325,21.0,imbalance,
penalized_model,34,0.02,0.6778973786949247,0.05272120494640711,24.0,imbalance,
auc_model,35,0.02,0.6646826530612245,0.03611818666198724,23.0,imbalance,
ap_model,35,0.02,0.6637030612244899,0.036487708971611625,21.0,imbalance,
penalized_model,35,0.02,0.6574877551020408,0.03820368371443324,24.0,imbalance,
auc_model,36,0.02,0.665795580124035,0.03741735615250949,23.0,imbalance,
ap_model,36,0.02,0.6684504950858958,0.03829173511813818,21.0,imbalance,
penalized_model,36,0.02,0.6802904111871524,0.035360683088596336,24.0,imbalance,
auc_model,37,0.02,0.6257439889733002,0.03197340628353038,23.0,imbalance,
ap_model,37,0.02,0.6277033704595198,0.031823043781111324,21.0,imbalance,
penalized_model,37,0.02,0.6200810834298371,0.030261062721767228,24.0,imbalance,
auc_model,38,0.02,0.6798295873677999,0.05803723689438576,23.0,imbalance,
ap_model,38,0.02,0.6800236055448778,0.05806021910781684,21.0,imbalance,
penalized_model,38,0.02,0.6675852214737702,0.06176913377274559,24.0,imbalance,
auc_model,39,0.02,0.6653058189254507,0.05304479088985963,23.0,imbalance,
ap_model,39,0.02,0.6681734523145566,0.0548012461382878,21.0,imbalance,
penalized_model,39,0.02,0.6749349321435212,0.054228073789527036,24.0,imbalance,
auc_model,0,0.05,0.6907132374662894,0.12008363033908931,21.0,imbalance,
ap_model,0,0.05,0.6911956697828221,0.12032899325857141,24.0,imbalance,
penalized_model,0,0.05,0.6967561489274517,0.13244965378857473,21.0,imbalance,
auc_model,1,0.05,0.7082390973851297,0.13625425194359195,21.0,imbalance,
ap_model,1,0.05,0.7072592875991136,0.135731706494715,24.0,imbalance,
penalized_model,1,0.05,0.720022442723917,0.11787389321530992,21.0,imbalance,
auc_model,2,0.05,0.6974657565672217,0.12412494554930052,21.0,imbalance,
ap_model,2,0.05,0.6971437041847397,0.1244629167767533,24.0,imbalance,
penalized_model,2,0.05,0.7108031368784389,0.1139477080466531,21.0,imbalance,
auc_model,3,0.05,0.7010351577793437,0.14236472938304223,21.0,imbalance,
ap_model,3,0.05,0.7018115261138517,0.1437259047029722,24.0,imbalance,
penalized_model,3,0.05,0.7020010179312505,0.14202442042877708,21.0,imbalance,
auc_model,4,0.05,0.7070935262211193,0.12013226255928161,21.0,imbalance,
ap_model,4,0.05,0.7077792764789842,0.1214623300002238,24.0,imbalance,
penalized_model,4,0.05,0.7131754727230083,0.13332966469579535,21.0,imbalance,
